,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj_descriptive_only,note
Ttc39b,9.05722609708779,0.485411898150626,0.622300212500133,0.780028494929242,0.435374102955861,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Hmbox1,11.9847143130581,0.423174038544823,0.543399086558375,0.778753680329132,0.436124827967948,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Rpl38,1508.16030427882,0.191290928328287,0.245755044859233,0.778380474093044,0.436344746347795,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Tmem106a,16.111719769244,0.404424355685221,0.520017666755383,0.777712723124584,0.436738389851802,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ulk2,20.1293538763453,0.381873691642309,0.491023995000043,0.777708819794591,0.436740691491217,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Clk1,183.594615800711,0.2188358323718,0.281582117676264,0.77716523399187,0.437061290786446,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Fzd2,62.51110176806,0.302063311829293,0.389008432432579,0.776495537488496,0.43745645465879,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Adamts10,26.7509045914821,0.333137145666362,0.429438135018848,0.775751193246358,0.437895906668356,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Epn2,21.5254519186119,0.358169190426181,0.462123201605488,0.775051304894119,0.438309343987228,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Stt3b,65.5899270177792,0.243552639951756,0.31440920751089,0.774635838052928,0.438554874240495,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Clock,29.5481713028085,0.31106782512657,0.402072104803642,0.773661792027289,0.439130820291221,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Txnrd1,71.4881529607205,0.277857654057034,0.359200500601222,0.77354472945322,0.439200067736808,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Slit2,57.1187914772192,0.349793581408872,0.452626435940271,0.772808553884448,0.439635690311236,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Txndc12,28.178867755886,0.33083252427049,0.428661437218813,0.771780467160646,0.440244462442029,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Nsd3,105.367965715359,0.222786429718524,0.288980084457508,0.770940427042758,0.440742243240225,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Tmem161a,13.8698730696201,0.404264309959674,0.524576232161579,0.770649307334902,0.440914826680639,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Spg21,34.7693270882715,0.293148488162104,0.380606745178656,0.770213591523454,0.441173202853465,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Trp53bp2,26.0102392790908,0.370633139438094,0.48191734936676,0.769080299609688,0.441845642451047,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Col3a1,6714.94601200298,0.287766695315845,0.374470835318254,0.768462235707298,0.44221261823566,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ephx1,18.2354336954431,0.355995794003096,0.463377785271736,0.768262539375579,0.442331225310611,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Vangl1,8.5000333832582,0.572166761020709,0.745296188343715,0.76770386051785,0.442663142118267,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Angpt1,6.67901702767667,0.595519609768233,0.775798779799892,0.767621225083443,0.442712248761905,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Phf20l1,59.4531533863596,0.3235233853184,0.421556103328305,0.767450364884035,0.442813793424104,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Lamp2,196.733080258886,0.234557674064709,0.305768154843377,0.767109557844097,0.443016379695549,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Prkx,19.8204840620909,0.361561224310624,0.471361729318416,0.767056809710532,0.443047739555542,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Siah1a,19.6271643438198,0.342279835417016,0.44643060664946,0.766703336014272,0.443257919742353,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Arhgap17,33.2365198886193,0.30251717874518,0.394689738753552,0.766468314328472,0.443397698311652,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Rab2a,164.752344953006,0.211460934239083,0.276964191304675,0.763495574077535,0.445167900866833,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Prkd3,24.4611872343707,0.325419100381983,0.427317605805012,0.761539182943178,0.446335084531019,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
C2cd2l,10.3439266146667,0.534548853680728,0.702579232820885,0.760837822567701,0.446753940249369,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Fmod,59.1956153562617,0.904872996488797,1.18987190110207,0.760479338700829,0.446968114848086,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Apaf1,19.760640756362,0.33608985432739,0.442079625823088,0.760247328072718,0.447106759698223,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Cdk5,16.4611262278926,0.379474814630425,0.499212916213145,0.760146226802361,0.447167183419744,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Mcfd2,55.9782583227422,0.286798825299599,0.377423182052336,0.759886617827915,0.447322361400265,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ccni,43.7910376903541,0.27090087165248,0.356679537806374,0.759507745576199,0.447548882437998,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ece1,41.3410699130837,0.29026334552486,0.382303207610521,0.759249045643823,0.447703592020804,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Itsn2,18.8656176706489,0.350045274013331,0.46106746899548,0.759206184673946,0.447729226979148,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Dlg4,48.3937221990944,0.291850973269496,0.384661677145294,0.758721210377445,0.448019346096677,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Zmym2,18.836445042234,0.400148288969035,0.527790050314006,0.758158075793526,0.44835635587409,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Slc35b2,25.405498242492,0.310618071418065,0.409758962337733,0.758050707776945,0.448420626959868,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Stk19,25.0868487278751,0.334134193698996,0.440843368310427,0.757943110224378,0.448485040695201,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Cyp4b1,52.9518777715826,0.296769371073697,0.391553482299777,0.757928059611759,0.448494051227674,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Slmap,20.7469342270206,0.352148540495939,0.464835169418502,0.757577230949345,0.448704115191182,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Mfap2,295.635634688064,0.301998584770883,0.398703430289804,0.757451684203898,0.448779301769353,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Gas2l1,21.6271445106808,0.340661014246192,0.450719237003051,0.75581645130422,0.449759251782092,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Clip1,36.2136581649484,0.29249499746662,0.387433068633615,0.754956200559185,0.450275262891008,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Map3k20,17.4781889427949,0.359588783273463,0.476623435905528,0.754450486871859,0.450578765664277,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Zfp771,34.4154054689767,0.2947663675061,0.391016782719164,0.75384582077595,0.450941806498863,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Wdr44,10.5847566085116,0.431609318238641,0.57266023253569,0.753691794395277,0.451034310216104,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Hacd2,19.4103517964046,0.363605671321212,0.482554103947376,0.753502391435188,0.451148074789442,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Exosc8,17.1642288680115,0.364044372969681,0.483208147922964,0.753390385767501,0.451215358447931,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
C1qtnf7,15.5446084968843,0.422694872747064,0.5614743867783,0.752830196177704,0.451551958812939,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Gtpbp4,70.3594511217935,0.317415435966617,0.421708453627148,0.752689288622272,0.451636648096574,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Tbc1d15,25.71786027279,0.318229195805496,0.422902991370623,0.752487455276965,0.451757971089412,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ankrd44,10.6505753424724,0.43838066864959,0.583117057504752,0.751788449690511,0.452178289112677,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Il3ra,22.3440553906437,0.359820813117536,0.479008717711132,0.751178005354232,0.452545535226109,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Pmm1,34.0776218453333,0.302991302956822,0.40382252430287,0.750308080213911,0.453069177222478,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Rps14,1047.09347899292,0.173337209218649,0.231136543230908,0.749934245773861,0.453294307847852,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Nelfa,11.0450852286402,0.422435214051444,0.564130082118431,0.748825895731545,0.453962149514707,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Samhd1,44.406151511743,0.292838129862362,0.391192567062404,0.748577949886373,0.454111626392563,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Kctd2,12.8645859871876,0.418775848766718,0.559608415520431,0.74833729649555,0.454256733468605,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Rbbp6,91.550314913989,0.220045293670106,0.294309686777437,0.747665821262989,0.454661751911697,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Aldh2,119.736036863787,0.235137107758315,0.31465991675884,0.747273787460281,0.454898311741904,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Lsmem1,21.8304072456537,0.417814580733742,0.559889044978845,0.746245322141512,0.455519234505424,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Spry2,69.7121129192482,0.337976016736147,0.45312326103227,0.745880968384179,0.455739322797406,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Huwe1,66.7432099298885,0.241261058329611,0.323608596385586,0.745533527305137,0.455949250687091,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Rps15,410.723189923231,0.198719383768272,0.266652158951366,0.745238233021454,0.456127713637951,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Abca8a,60.3856118813042,0.380269852448491,0.510568930932818,0.74479630351524,0.456394869879043,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Grb10,72.3530988835977,0.246757251782336,0.33133691212658,0.744732152535024,0.456433657887582,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Ecsit,10.3488851763218,0.444863587762365,0.597430174292939,0.744628589088028,0.456496280013146,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Hk1,13.5957614115393,0.393593806950608,0.528653007047883,0.744522024283044,0.456560722023239,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
Pros1,111.780639349748,0.238153087626562,0.320229951450092,0.74369398161583,0.457061631278816,0.999550560551813,"n=3 pooled libraries per group; padj shown for ranking only, not a validated significance test"
