"","x"
"665","Glmp"
"666","Glrx5"
"667","Glt1d1"
"668","Gltscr2"
"669","Gm13889"
"670","Gm2115"
"671","Gm2174"
"672","Gm21887"
"673","Gm38119"
"674","Gm3839"
"675","Gm38392"
"676","Gm4737"
"677","Gm5416"
"678","Gm5478"
"679","Gm5483"
"680","Gm5615"
"681","Gm7334"
"682","Gm9780"
"683","Gm9843"
"684","Gmppb"
"685","Gna11"
"686","Gna12"
"687","Gnai2"
"688","Gnb2"
"689","Gng5"
"690","Gnl1"
"691","Gns"
"692","Gorasp1"
"693","Gpaa1"
"694","Gpat4"
"695","Gpc1"
"696","Gpm6b"
"697","Gpn2"
"698","Gpnmb"
"699","Gpr108"
"700","Gpr132"
"701","Gpr137"
"702","Gpr153"
"703","Gpr180"
"704","Gpr35"
"705","Gpt"
"706","Gpx1"
"707","Gpx3"
"708","Gpx7"
"709","Grb10"
"710","Grcc10"
"711","Grhpr"
"712","Grina"
"713","Grk2"
"714","Grn"
"715","Grrp1"
"716","Gsdmc"
"717","Gsdmd"
"718","Gsk3a"
"719","Gsr"
"720","Gsta4"
"721","Gstm2"
"722","Gtpbp1"
"723","Guk1"
"724","Gusb"
"725","Gxylt2"
"726","H13"
"727","H2-Aa"
"728","H2-Ab1"
"729","H2-D1"
"730","H2-DMb1"
"731","H2-Eb1"
"732","H2-K1"
"733","H2-T22"
"734","H2afj"
"735","H2afv"
"736","H2afx"
"737","H6pd"
"738","Hacd1"
"739","Has3"
"740","Havcr2"
"741","Hbegf"
"742","Hcar2"
"743","Hdc"
"744","Hes6"
"745","Hexa"
"746","Hic2"
"747","Higd2a"
"748","Hilpda"
"749","Hist1h1c"
"750","Hist2h2aa1"
"751","Hist3h2a"
"752","Hivep3"
"753","Hk2"
"754","Hk3"
"755","Hmg20b"
"756","Hmga1"
"757","Hmga2"
"758","Hmox1"
"759","Hn1"
"760","Hn1l"
"761","Homer3"
"762","Hp"
"763","Hps6"
"764","Hs6st1"
"765","Hspa5"
"766","Hspg2"
"767","Htr1b"
"768","Htra1"
"769","Htra2"
"770","Htra3"
"771","Hyal2"
"772","Icmt"
"773","Id3"
"774","Idh1"
"775","Idh2"
"776","Idi2"
"777","Ier3"
"778","Ier5"
"779","Ier5l"
"780","Ifi202b"
"781","Ifi204"
"782","Ifi207"
"783","Ifi27"
"784","Ifi35"
"785","Ifitm2"
"786","Ifngr2"
"787","Igdcc4"
"788","Igf2bp1"
"789","Igfbp2"
"790","Igfbp3"
"791","Igfbp4"
"792","Igfbp6"
"793","Igfbp7"
"794","Igsf10"
"795","Il11"
"796","Il11ra1"
"797","Il13ra1"
"798","Il17rc"
"799","Il1a"
"800","Il1b"
"801","Il1f9"
"802","Il1r2"
"803","Il1rl1"
"804","Il1rn"
"805","Il24"
"806","Il33"
"807","Il3ra"
"808","Il4ra"
"809","Il6"
"810","Ilk"
"811","Ilvbl"
"812","Imp3"
"813","Impdh1"
"814","Impdh2"
"815","Inf2"
"816","Inhba"
"817","Ino80b"
"818","Inpp5a"
"819","Ints5"
"820","Ipo4"
"821","Ippk"
"822","Irf2bp1"
"823","Irf3"
"824","Islr"
"825","Isoc2b"
"826","Isyna1"
"827","Itga11"
"828","Itga2"
"829","Itga3"
"830","Itga5"
"831","Itga6"
"832","Itga7"
"833","Itgbl1"
"834","Itm2a"
"835","Itpkc"
"836","Jdp2"
"837","Josd2"
"838","Jund"
"839","Jup"
"840","Kazald1"
"841","Kcnk7"
"842","Kcns1"
"843","Kcp"
"844","Kctd10"
"845","Kctd17"
"846","Kdelr3"
"847","Kera"
"848","Kif26b"
"849","Klf16"
"850","Klf7"
"851","Klhdc3"
"852","Klk10"
"853","Klk6"
"854","Klk9"
"855","Klrg2"
"856","Krit1"
"857","Krt14"
"858","Krt16"
"859","Krt17"
"860","Krt6a"
"861","Krt6b"
"862","Krtcap2"
"863","L3hypdh"
"864","Lama3"
"865","Lamb2"
"866","Lamb3"
"867","Lamc2"
"868","Lamp1"
"869","Lamtor1"
"870","Lamtor4"
"871","Lancl1"
"872","Laptm5"
"873","Lasp1"
"874","Lce1a1"
"875","Lce1a2"
"876","Lce1j"
"877","Lce1m"
"878","Lce3b"
"879","Lce3c"
"880","Lce3d"
"881","Lce3e"
"882","Lcn2"
"883","Ldha"
"884","Ldlr"
"885","Ldlrap1"
"886","Lemd2"
"887","Lgals1"
"888","Lgals3"
"889","Lgals3bp"
"890","Lgals7"
"891","Lgals9"
"892","Lgmn"
"893","Lgr5"
"894","Lhfp"
"895","Lhfpl2"
"896","Lif"
"897","Lilrb4a"
"898","Limd2"
"899","Llgl1"
"900","Lman1"
"901","Lman2"
"902","Lmf2"
"903","Lmo1"
"904","Lor"
"905","Lox"
"906","Loxl1"
"907","Loxl2"
"908","Loxl3"
"909","Lpgat1"
"910","Lpo"
"911","Lrfn4"
"912","Lrg1"
"913","Lrp1"
"914","Lrp10"
"915","Lrp3"
"916","Lrp8"
"917","Lrrc25"
"918","Lrrc32"
"919","Lrrc41"
"920","Lrrc59"
"921","Lsm4"
"922","Lsp1"
"923","Lsr"
"924","Ltbp1"
"925","Ltbp2"
"926","Ltbp3"
"927","Ltbr"
"928","Lum"
"929","Ly6d"
"930","Ly6e"
"931","Lypd3"
"932","Lypla2"
"933","Lyz2"
"934","Lzts2"
"935","Macrod1"
"936","Mad2l2"
"937","Maged1"
"938","Maged2"
"939","Mal"
"940","Mall"
"941","Man2b2"
"942","Map1lc3a"
"943","Map2k2"
"944","Map2k3"
"945","Map3k11"
"946","Mapkapk2"
