,GSM5429653_T1,GSM5429654_T2,GSM5429655_T3,GSM5429656_T-7P,GSM5429657_T-7V,GSM5429658_T-14P,GSM5429659_T-14V,GSM5429660_T-30P,GSM5429661_T-30V
Aatk,57,0,2,4,0,14,5,6,10
Cep131,117,16,2,0,9,1,2,1,2
Tepsin,83,4,2,4,10,4,5,4,3
Ndufaf8,972,182,58,19,90,31,39,19,34
Slc38a10,3503,411,84,31,222,54,78,33,39
Bahcc1,154,20,4,1,11,7,7,3,2
Gm11772,14,3,0,1,1,0,2,0,0
Actg1,39950,4695,1134,1107,3942,878,1210,1572,1058
Fscn2,3,0,0,0,0,0,0,0,0
Faap100,263,38,10,6,22,8,6,5,9
Nploc4,489,59,20,7,28,8,17,5,12
Tspan10,1,0,0,0,0,0,0,0,0
Pde6g,1,1,0,0,0,0,0,0,0
Oxld1,140,12,4,0,4,2,5,2,1
Ccdc137,137,36,15,5,18,11,6,9,8
Arl16,218,26,9,4,20,5,8,5,7
Hgs,1,0,0,0,1,2,0,0,0
Hgs-1,0,0,0,0,0,0,0,1,0
Mrpl12,1548,206,69,25,103,28,47,29,43
Gm16755,0,0,0,0,0,0,0,0,0
Slc25a10,148,20,2,1,9,7,8,1,2
Mcrip1,4474,336,80,50,262,93,103,54,72
Ppp1r27,2,0,0,1,0,2,0,1,0
P4hb,10036,1314,409,95,662,239,258,111,140
Arhgdia,5318,737,237,96,461,122,147,112,112
Alyref,1259,297,117,61,231,54,71,71,49
Anapc11,1797,290,92,35,179,86,69,43,47
Npb,1,0,0,0,1,0,0,0,1
Pcyt2,392,45,14,8,21,11,14,16,19
Sirt7,427,51,19,11,39,16,20,8,9
Mafg,1348,307,98,34,160,61,71,47,56
Gm17586,63,9,6,0,6,3,6,2,2
Pycr1,406,29,6,5,31,6,5,5,8
Notum,34,0,1,11,22,16,17,15,1
Aspscr1,648,67,33,9,41,18,22,9,8
Cenpx,1413,273,74,31,148,41,35,38,35
Lrrc45,409,39,11,5,25,12,16,6,12
Rac3,195,28,8,12,38,8,10,22,15
Dcxr,386,50,20,3,26,4,6,3,4
Cbr2,3,1,2,0,1,0,0,0,0
Hmga1b,12,8,4,3,4,0,2,3,2
Rfng,353,45,20,5,32,12,5,10,12
Gps1,1640,167,50,15,107,48,37,36,27
Dus1l,351,27,4,1,11,5,5,7,3
Fasn,822,112,21,16,70,18,31,19,14
Ccdc57,38,4,0,0,1,0,0,0,0
Slc16a3,385,68,11,12,68,8,15,2,9
Csnk1d,1413,352,96,41,193,50,110,31,60
Gm28192,1,1,0,0,0,0,0,0,0
Cd7,10,0,0,0,1,0,2,1,2
Sectm1b,42,29,4,0,0,0,2,2,1
Sectm1a,1262,524,165,13,89,55,68,11,19
Gm11791,5,7,0,0,0,0,0,0,0
Tex19.1,2,2,0,0,0,0,0,0,0
Uts2r,10,0,0,0,0,0,1,0,1
Ogfod3,181,25,8,7,19,6,17,3,4
Hexdc,156,7,4,4,17,6,8,0,1
BC017643,693,60,28,12,46,25,21,11,14
Narf,392,37,8,11,21,11,13,9,7
Foxk2,416,61,15,12,24,14,8,17,14
Wdr45b,1147,224,60,24,120,51,62,23,37
Rab40b,337,24,6,4,23,6,11,6,9
Fn3krp,35,6,1,0,4,0,4,1,2
Fn3k,30,1,1,0,2,2,2,0,0
Tbcd,444,44,14,2,23,5,6,9,6
Zfp750,2,0,0,0,1,0,0,0,0
B3gntl1,72,1,0,2,8,4,3,2,1
Metrnl,3431,539,181,26,447,81,154,65,88
Gm12589,18,1,0,1,0,0,1,2,0
2810429I04Rik,0,0,0,0,0,0,0,2,2
Gdi2,7374,732,238,86,413,134,178,108,128
Fam208b,543,59,21,15,42,17,21,16,19
Asb13,249,22,11,3,12,4,8,5,6
Gm47695,1,0,0,0,0,0,0,0,0
Calml3,14,0,0,0,0,0,0,1,0
Calm4,2,0,0,0,1,1,0,0,0
Net1,170,5,1,1,8,7,3,3,2
Akr1c14,164,6,4,5,54,5,11,9,10
Gm47904,3,0,0,0,0,0,0,0,0
Akr1c18,23,10,8,5,123,1,3,14,9
Akr1c13,39,4,3,0,2,1,0,0,0
Akr1c19,7,0,0,0,0,0,0,0,0
Akr1c12,0,0,0,0,0,0,0,0,0
Akr1e1,412,59,21,1,32,6,12,8,8
Gm47450,2,0,0,0,0,0,0,0,0
AC133498.1,3,1,0,0,0,1,1,0,0
1700016G22Rik,2,1,0,0,4,3,0,0,0
Klf6,10263,2528,772,356,1773,495,646,348,409
Gm47507,1,1,0,0,0,0,0,0,0
Gm46401,0,0,0,0,0,0,0,0,0
Pitrm1,776,88,26,2,39,24,18,10,13
Pfkp,925,189,64,12,95,17,30,17,23
Adarb2,23,0,1,0,0,0,0,0,0
Wdr37,412,47,14,6,25,9,12,5,10
Idi1,365,75,34,17,39,12,16,25,15
Idi2,0,0,0,0,1,0,0,0,0
Gtpbp4,1036,210,217,22,227,69,48,57,93
Gm36264,1,0,0,0,0,0,0,0,0
Larp4b,1439,125,39,22,64,44,43,20,25
Dip2c,558,77,19,9,50,24,32,7,18
Gm26601,218,22,7,0,13,0,6,5,3
Gm36423,7,0,1,1,1,0,1,1,0
Zmynd11,1882,200,63,15,124,47,66,28,36
Gm47802,7,2,0,1,2,2,4,0,1
Chrm3,11,8,0,0,1,1,2,0,0
Gm47408,0,2,1,0,0,0,0,0,0
Ryr2,1,2,1,0,2,0,0,2,1
Mtr,280,29,11,0,20,6,7,6,7
Actn2,0,0,0,0,0,0,0,1,0
Heatr1,214,34,9,4,15,2,6,3,4
Lgals8,888,95,43,8,63,21,11,14,18
Edaradd,3,0,0,0,0,1,0,0,0
Ero1lb,50,15,3,3,5,6,2,1,6
Gpr137b,328,33,23,11,23,15,15,5,6
Nid1,8439,751,210,86,812,270,222,209,155
Gm48682,10,2,1,0,2,0,1,1,0
Lyst,407,52,16,3,33,11,15,3,14
Gng4,61,19,8,0,6,0,4,2,4
Gm47882,3,3,1,1,1,0,4,2,5
B3galnt2,334,37,10,5,26,8,11,5,10
Tbce,474,40,13,8,20,8,20,9,9
Ggps1,679,77,20,7,45,16,20,13,14
Arid4b,1550,344,112,43,196,62,74,60,64
Hecw1,0,0,0,0,2,0,1,1,0
Mrpl32,1242,158,57,27,91,42,35,31,34
Psma2,4547,594,193,84,368,91,140,103,110
AW209491,118,16,7,1,7,4,1,4,1
Gm26645,34,2,2,2,1,0,0,1,0
Gli3,671,87,31,7,49,30,26,20,10
4933412O06Rik,7,2,0,0,0,1,0,1,0
A530046M15Rik,2,1,0,0,1,0,0,0,1
Inhba,1939,394,38,146,268,65,35,181,182
Gm48492,1,0,1,0,0,0,0,0,0
Sugct,41,9,4,0,6,2,2,0,0
Mplkip,738,122,33,12,59,43,31,17,26
Cdk13,846,161,39,16,78,25,35,23,31
Rala,1511,241,90,33,160,57,62,43,28
Gm48754,0,3,0,0,0,0,0,2,0
Yae1d1,596,75,55,13,102,23,14,26,92
Gm48799,1,0,0,0,0,0,0,0,0
Pou6f2,0,0,0,0,0,0,0,0,0
Gm48829,2,0,0,0,0,0,0,0,0
Vps41,1140,114,24,12,49,26,25,16,17
Amph,14,1,3,0,0,1,2,1,0
Tcrg-V7,0,0,0,0,0,0,0,0,0
Tcrg-V4,0,0,0,0,0,0,0,0,0
Tcrg-V6,0,0,0,0,0,0,0,0,0
Tcrg-V5,0,0,0,0,0,0,0,0,0
Tcrg-C1,2,0,0,0,0,1,0,1,0
Tcrg-C2,2,0,0,0,0,0,0,0,0
Trgv2,0,0,0,0,0,0,0,0,0
Tcrg-V1,0,0,0,0,0,0,0,0,0
Tcrg-C4,0,0,0,0,0,0,0,0,0
Stard3nl,860,111,44,6,71,20,27,14,9
Epdr1,1051,118,29,5,70,20,20,15,9
Sfrp4,1425,105,23,7,275,23,95,18,12
A530099J19Rik,0,0,0,0,0,0,0,0,0
Gpr141,2,0,1,0,0,0,0,0,0
Elmo1,975,49,24,3,32,9,10,12,19
Gm32036,27,2,2,0,2,2,0,2,2
Aoah,0,0,0,0,0,0,0,0,0
Olfr1369-ps1,3,23,1,0,0,1,0,5,4
Trim27,710,88,34,15,66,9,14,21,19
Zscan12,94,8,3,0,5,5,2,2,3
Zkscan3,1058,106,28,13,51,29,25,23,38
Pgbd1,8,1,1,0,0,0,1,1,0
Zscan26,423,44,24,9,46,17,20,27,22
Nkapl,35,0,0,0,1,0,2,0,0
Zkscan4,25,0,0,0,1,0,0,0,0
AK157302,13,3,2,0,5,1,3,1,0
Gm11273,59,8,8,1,1,4,2,4,4
Zkscan8,173,7,3,1,5,2,4,0,1
Olfr1535,1,1,2,0,0,0,0,0,0
Olfr11,0,0,0,0,0,0,0,0,1
Hist1h2bl,0,0,0,0,0,0,0,0,0
Hist1h2ai,3,0,3,2,0,0,1,0,0
Hist1h3h,0,0,0,0,0,0,0,0,0
Hist1h2bm,3,4,1,0,0,1,4,0,0
Hist1h4j,0,0,0,3,1,0,0,0,0
Hist1h4k,0,0,0,2,0,0,0,0,0
Hist1h2ak,9,7,19,11,3,2,11,0,2
Hist1h2bn,1,0,0,1,0,1,2,0,1
Hist1h1b,37,1,12,2,3,2,8,2,1
Hist1h3i,5,0,1,1,1,1,1,0,0
Hist1h2an,0,0,3,0,0,0,3,0,0
Hist1h2bp,0,0,2,0,0,0,1,0,0
Hist1h2ao,1,1,2,1,0,0,2,0,0
Hist1h4m,1,0,0,1,0,0,1,0,0
Hist1h4n,1,4,2,0,0,0,0,0,0
Hist1h2ap,43,3,115,110,8,4,65,5,4
Hist1h2br,2,0,0,0,1,0,3,0,1
Zfp184,8,0,0,1,0,0,1,0,0
Prss16,1,0,0,0,0,0,0,0,0
Hist1h2ah,0,0,1,0,0,0,0,0,0
Hist1h2bk,0,0,0,0,1,0,3,0,0
Hist1h4i,74,14,7,11,16,10,7,1,2
Hist1h2ag,0,0,1,1,0,1,1,0,0
Hist1h2bj,6,0,5,1,2,0,3,1,0
Vmn1r197,2,2,1,0,1,0,1,1,2
Vmn1r201,1,0,0,0,0,0,0,0,0
Vmn1r203,0,1,1,0,0,0,0,0,0
Vmn1r216,1,1,1,0,0,0,0,0,0
Vmn1r218,3,0,1,1,0,0,0,0,0
Vmn1r220,0,1,0,0,1,0,0,1,1
Zfp322a,381,23,14,8,20,7,15,16,13
Abt1,234,44,17,9,21,13,6,7,10
C230035I16Rik,27,6,2,1,1,2,2,0,3
Gm46404,14,1,1,0,1,1,1,0,0
Gm11335,2,0,0,0,0,0,0,0,0
Hist1h4h,18,4,0,4,7,3,1,4,2
Hist1h2af,2,0,5,5,3,0,3,0,0
Hist1h3g,1,0,0,0,1,0,0,2,0
Hist1h2bh,4,2,1,1,0,3,1,1,1
Hist1h3f,1,1,0,0,1,0,2,0,0
Hist1h4f,0,0,0,0,0,0,0,0,0
Hist1h1d,7,3,3,2,2,3,5,1,2
Hist1h3e,5,0,2,3,2,0,0,2,1
Hist1h2ae,49,6,29,18,8,34,38,3,25
Hist1h2bg,3,0,0,1,2,0,5,0,0
Hist1h2bf,2,0,0,0,1,1,0,1,0
Hist1h2ad,1,0,0,0,0,1,3,0,0
Hist1h3d,5,2,0,0,2,3,2,0,0
Hist1h4d,56,12,2,6,14,6,11,3,2
Hist1h2be,24,8,0,3,3,4,3,1,0
Hist1h1e,108,8,6,5,10,4,6,4,8
Hist1h2ac,36,13,4,5,11,2,4,4,2
Hist1h2bc,1385,267,79,51,278,107,93,33,52
Hist1h1t,1,1,0,0,0,0,0,0,0
Hist1h4c,11,6,3,2,10,0,2,1,1
Hfe,1484,117,63,11,60,25,54,12,17
Hist1h1c,1366,54,25,13,74,34,40,24,16
Hist1h3c,4,4,3,1,3,0,0,0,0
Hist1h2bb,4,1,0,1,0,0,2,0,0
Hist1h2ab,6,0,4,10,2,0,5,0,0
Hist1h3b,0,0,1,0,0,0,0,0,0
4930558J22Rik,0,1,0,0,0,0,0,0,0
Hist1h4b,0,0,1,0,0,0,0,0,0
Hist1h4a,7,2,0,2,0,1,0,3,2
Hist1h3a,8,1,1,0,0,1,1,0,1
Hist1h1a,4,0,3,0,2,1,4,0,0
Carmil1,666,42,18,3,18,6,10,7,5
Cmah,550,43,24,1,76,3,9,15,18
Gm11342,8,0,0,0,1,0,0,0,0
Ripor2,59,2,2,0,8,3,1,4,2
C530050E15Rik,8,0,0,0,0,0,0,1,1
Gmnn,89,13,13,12,9,4,11,2,3
BC005537,3464,758,237,54,424,107,172,77,97
Acot13,825,112,21,11,63,15,27,9,12
Tdp2,427,76,17,14,65,20,23,18,15
D130043K22Rik,2,2,1,0,1,0,1,0,1
4932702P03Rik,2,1,0,0,0,0,0,1,0
Aldh5a1,135,18,5,2,10,0,1,2,3
Gpld1,50,1,3,0,3,1,5,3,3
Mrs2,265,29,9,5,15,6,11,9,13
Gm11361,137,54,31,5,11,4,9,24,32
Gm40841,5,0,1,3,3,1,0,1,1
Gm26735,87,11,6,6,14,6,3,3,3
Sox4,3588,321,57,83,283,100,83,59,63
A330102I10Rik,99,18,3,2,10,1,2,0,2
Cdkal1,332,23,12,6,26,5,14,6,9
E2f3,168,29,7,3,16,6,3,3,7
Mboat1,72,3,3,0,2,4,4,1,1
Agtr1a,1034,81,20,0,34,11,17,9,10
Uqcrfs1,2070,245,91,31,136,48,55,39,44
Dusp22,377,61,16,4,25,9,17,5,4
Irf4,76,21,5,1,6,2,11,3,1
Gm29675,12,1,0,0,1,0,0,1,0
Exoc2,400,37,10,3,23,13,18,5,13
Hus1b,6,0,0,0,0,0,0,0,0
Gm5447,2,0,0,0,0,0,0,0,0
Gm11373,0,0,0,0,0,0,0,2,0
Foxq1,6,0,0,0,0,0,0,0,0
Foxf2,11,0,1,0,0,0,0,0,0
Foxc1,35,16,2,1,2,1,1,0,1
Gmds,502,76,23,3,44,11,13,5,10
Mylk4,1,0,0,0,0,0,0,0,5
Wrnip1,353,49,20,5,20,19,9,7,9
Serpinb1a,825,133,53,9,61,18,25,12,19
Serpinb1c,0,1,0,0,0,0,0,0,0
Serpinb6b,26,4,1,0,3,0,4,0,1
Gm47662,0,0,1,1,2,6,1,2,1
Serpinb9,263,35,11,5,43,18,12,7,5
