,GSM5429653_T1,GSM5429654_T2,GSM5429655_T3,GSM5429656_T-7P,GSM5429657_T-7V,GSM5429658_T-14P,GSM5429659_T-14V,GSM5429660_T-30P,GSM5429661_T-30V
Gm28793,2,1,0,0,0,0,0,0,0
Hoxd9,203,16,6,2,10,6,9,4,5
Hoxd3os1,369,43,18,14,50,15,11,4,21
Hoxd8,680,78,20,6,56,25,31,17,21
Hoxd3,20,4,0,0,2,0,0,0,0
Hoxd4-1,9,0,0,0,0,1,1,0,0
Gm28230,2,0,0,0,0,0,1,0,1
Gm14424,3,0,0,0,0,0,0,0,0
Hoxd1,3,0,0,0,0,1,0,0,0
Mtx2,1394,162,48,23,101,27,28,22,36
2600014E21Rik,9,2,0,1,8,1,0,0,0
Hnrnpa3,5220,945,360,176,481,197,177,220,188
Nfe2l2,2316,719,197,44,338,87,123,73,77
Agps,546,54,23,7,41,9,15,7,7
Ttc30b,140,9,0,1,1,1,2,1,3
Ttc30a2,1,0,0,0,0,1,0,0,0
Ttc30a1,45,16,2,0,3,2,2,1,1
Pde11a,30,37,5,0,8,4,5,4,3
Rbm45,89,11,5,3,17,2,6,3,0
Osbpl6,115,13,3,6,12,6,6,7,8
Prkra,581,69,22,8,48,22,25,17,16
Pjvk,1,0,0,1,0,2,0,0,0
Fkbp7,5038,459,144,67,362,127,140,70,101
Plekha3,579,78,26,9,41,8,13,12,18
Ttn,2,2,1,0,1,0,0,1,7
Ccdc141,109,13,3,1,16,2,5,1,3
Sestd1,767,85,21,2,45,6,11,11,11
Zfp385b,405,45,12,1,14,5,10,0,2
Cwc22,431,23,4,4,12,7,5,4,7
4930440I19Rik,0,0,0,0,0,0,0,0,0
Gm14461,0,0,0,0,0,0,0,0,1
Ube2e3,1679,199,73,23,146,41,65,46,48
Itga4,26,0,0,0,2,7,3,1,0
Cerkl,9,0,0,0,1,0,0,0,0
Ssfa2,251,30,10,9,19,16,12,6,9
Pde1a,267,65,14,1,22,4,7,15,3
Prdx6b,1,0,0,0,0,0,0,0,0
Dnajc10,1757,194,61,11,118,44,55,18,23
Frzb,48,1,0,5,19,17,10,15,19
Nckap1,2125,246,70,21,118,50,57,42,38
Dusp19,197,33,10,1,20,7,4,1,10
Nup35,301,45,16,8,25,10,12,8,7
Zfp804a,5,0,0,0,0,0,0,0,0
Zc3h15,2199,394,147,39,193,76,86,47,56
Itgav,2178,254,74,23,175,59,62,37,36
Fam171b,802,55,21,13,54,26,28,8,22
Calcrl,348,63,24,8,52,6,16,18,17
Tfpi,1087,142,57,8,99,42,41,22,27
Gm13710,0,0,0,0,0,0,0,0,0
Ctnnd1,1166,106,41,16,55,28,24,28,31
Selenoh,1426,265,131,53,119,63,39,21,30
Tmx2,629,60,23,12,47,12,23,10,14
Med19,453,55,22,11,39,7,6,8,6
Zdhhc5,764,124,33,6,73,12,31,21,15
Clp1,136,59,13,17,25,11,12,4,4
Ypel4,124,21,2,2,14,1,7,2,4
Gm19426,30,3,2,1,2,0,2,0,0
Serping1,38431,4755,1549,162,2380,712,1315,376,531
Ube2l6,442,143,43,12,78,14,47,14,15
Smtnl1,0,0,0,0,0,0,0,0,0
Timm10,819,113,32,14,75,16,22,12,19
Slc43a1,341,53,15,3,32,10,12,6,3
Rtn4rl2,1,1,1,0,0,0,2,0,0
Slc43a3,2607,524,134,12,271,61,102,42,47
Prg2,1,0,1,0,2,3,0,1,1
P2rx3,1,1,1,0,1,0,0,0,0
Ssrp1,1656,182,65,29,82,38,26,32,20
Tnks1bp1,989,141,33,8,74,20,28,12,14
Aplnr,4,0,0,0,0,0,0,0,0
Gm13713,1,1,0,0,1,0,1,0,0
Lrrc55,11,1,0,0,0,3,2,1,0
4833423E24Rik,0,0,0,0,0,0,0,0,0
Olfr1033,32,35,13,1,13,4,8,2,0
Olfr1034,3,5,1,0,0,0,0,0,0
Olfr52,1,2,0,0,0,0,0,0,0
Olfr1055,2,1,0,0,0,0,0,0,0
Olfr1087,0,0,0,0,0,0,0,0,0
Olfr1090,1,1,0,0,0,0,0,0,0
Olfr259,0,0,1,0,0,0,0,0,0
Olfr1116,0,1,1,0,0,0,0,1,0
Olfr1122,0,0,0,0,0,1,2,1,1
Olfr1124,0,0,0,0,0,0,0,1,0
Pramel7,1,0,2,0,0,0,1,0,0
Olfr1129,1,0,0,0,0,0,0,0,1
Olfr1137,0,3,0,0,0,0,0,0,0
Olfr152,0,0,0,0,1,0,0,0,0
Olfr1152,1,1,0,0,0,0,0,2,1
Olfr1156,2,2,1,0,1,1,0,0,1
Olfr1160,2,0,0,0,2,0,0,0,0
Olfr73,1,1,0,0,0,0,2,0,1
Olfr1167,6,5,2,0,3,1,1,0,0
Olfr1173,0,0,0,0,0,0,0,0,0
Olfr1175-ps,1,1,0,0,0,0,0,0,0
Olfr1178,0,0,0,0,1,0,0,0,0
Olfr1191-ps1,2,1,0,0,0,0,1,0,0
Olfr1195,0,1,1,0,0,0,0,0,1
Olfr1198,0,0,0,0,0,0,0,0,0
Olfr1209,0,0,0,0,1,0,0,0,0
Olfr1217,1,0,0,0,2,0,0,0,2
Olfr1233,2,1,2,0,1,0,0,0,1
Olfr1238,0,1,0,0,1,0,2,9,3
Olfr1247,0,0,1,1,0,0,0,0,0
Olfr1258,0,0,0,17,0,0,0,0,0
Olfr1259,0,0,0,0,0,0,0,0,0
Olfr1260,0,3,0,0,0,0,0,1,2
Gm13769,0,1,0,0,0,0,0,0,0
Olfr1274-ps,2,0,1,0,0,0,0,0,0
Ptprj,143,32,21,5,16,12,6,5,2
4933423P22Rik,0,1,0,0,0,0,0,0,0
Nup160,226,19,11,3,13,4,3,7,3
Fnbp4,672,84,28,15,89,28,31,15,28
Agbl2,20,2,3,0,2,4,2,0,3
Mtch2,2316,278,79,13,159,68,66,42,46
C1qtnf4,48,4,1,4,7,3,6,5,5
Ndufs3,2118,260,79,35,146,45,56,40,45
Kbtbd4,160,13,3,3,7,5,3,4,1
Celf1,1687,161,83,25,96,46,52,22,32
Rapsn,131,25,3,1,13,3,2,0,1
Psmc3,2871,442,136,32,167,63,74,49,54
Slc39a13,1106,172,37,21,92,39,40,18,35
Spi1,4,3,28,3,3,4,4,1,1
Mybpc3,0,0,0,0,0,0,0,0,0
Madd,89,13,9,1,8,2,4,3,2
Nr1h3,147,36,6,2,11,3,6,6,5
Acp2,597,76,27,7,24,19,27,13,8
Ddb2,125,11,4,1,10,7,5,3,3
A330069E16Rik,117,77,59,2,53,4,8,3,4
Gm17281,0,1,0,0,0,0,0,0,1
Pacsin3,182,16,7,3,13,3,7,4,1
Arfgap2,914,97,34,10,56,26,31,13,20
1110051M20Rik,312,26,17,4,30,7,11,5,8
Lrp4,506,89,25,1,24,9,19,11,12
Ckap5,560,59,32,10,34,28,10,12,9
F2,0,0,0,1,1,0,0,0,0
Zfp408,97,9,3,1,8,3,1,1,0
Arhgap1,914,123,34,4,72,11,20,12,14
Atg13,328,32,10,4,22,11,8,7,4
Harbi1,111,11,1,0,10,1,3,3,1
Ambra1,349,44,11,4,19,12,11,6,11
Mdk,962,39,6,139,408,115,150,212,127
Dgkz,216,36,10,6,14,13,12,7,5
Creb3l1,6049,567,148,34,326,105,141,28,114
2900072N19Rik,4,0,0,0,1,0,0,0,0
Phf21a,1188,104,41,10,72,33,36,16,16
Large2,1,0,0,0,2,0,0,1,0
Pex16,392,27,9,4,20,2,10,5,7
1700029I15Rik,19,2,0,0,1,0,0,0,1
Mapk8ip1,327,75,21,8,48,23,22,11,10
Cry2,986,118,32,5,58,13,21,9,12
Slc35c1,139,18,6,3,10,5,6,1,2
Gm13814,0,0,0,0,0,0,0,0,0
Chst1,76,12,4,1,16,1,4,6,9
Gm13816,4,0,0,0,0,0,0,0,0
Syt13,150,24,1,5,12,23,19,9,11
Prdm11,82,9,1,3,6,3,2,3,1
Trp53i11,39,5,1,1,4,4,3,3,1
Tspan18,345,32,16,7,28,14,16,4,13
Cd82,336,30,9,12,25,26,21,12,19
Gm10804,0,0,0,0,0,0,0,0,0
Alx4,42,0,0,8,18,23,12,14,9
Ext2,1534,194,55,12,128,39,43,23,33
Accs,167,10,0,2,11,4,4,4,7
Gm13889,210,31,9,23,49,28,19,6,9
Alkbh3,398,53,17,11,32,12,9,11,12
Hsd17b12,1211,205,55,19,111,24,34,28,23
Mir670hg,0,1,0,0,0,0,0,0,0
Ttc17,336,43,15,7,23,8,7,7,2
Api5,1003,166,54,20,91,30,35,23,20
Lrrc4c,15,5,0,0,4,2,4,1,0
Gm10801,0,0,0,0,0,0,0,0,0
Gm10800,0,0,0,0,1,0,0,0,1
B230118H07Rik,576,83,16,10,32,9,17,13,18
Rag1,1,0,0,0,0,0,1,1,0
Traf6,268,24,9,5,22,7,6,10,4
Prr5l,116,12,2,3,8,2,8,6,4
Commd9,752,69,22,9,45,17,11,6,6
Ldlrad3,183,27,4,1,8,10,11,4,4
Trim44,930,97,31,11,66,34,32,24,15
Fjx1,100,19,6,6,14,8,2,13,11
Pamr1,1365,77,7,15,74,25,23,16,20
Slc1a2,13,2,4,1,1,0,0,0,4
Cd44,4018,717,207,62,286,150,171,54,62
Pdhx,222,23,4,9,12,5,4,8,7
Apip,529,84,22,20,47,20,23,16,15
Ehf,2,0,1,0,0,0,0,0,0
A930006I01Rik,1,0,0,0,0,0,0,3,0
Elf5,0,0,0,0,0,0,0,0,0
Cat,1276,109,31,8,64,38,43,14,19
Abtb2,128,14,4,2,18,8,8,7,2
Nat10,277,46,12,6,17,8,13,5,7
Caprin1,2172,357,100,26,161,66,64,30,43
Lmo2,222,43,14,0,15,0,4,5,5
Fbxo3,702,61,28,9,32,24,14,6,26
Cd59b,25,9,6,4,4,5,10,1,2
Cd59a,125,10,2,6,15,37,14,14,3
D430041D05Rik,57,1,0,3,0,0,0,0,2
Hipk3,1230,215,76,23,127,35,74,29,34
Cstf3,336,86,17,9,47,21,15,17,10
Tcp11l1,149,34,2,3,11,5,3,6,7
Pin1rt1,0,0,0,0,0,0,0,0,0
Depdc7,26,13,0,0,4,1,0,3,0
Qser1,747,66,23,8,37,25,13,4,11
Prrg4,2,1,0,0,1,1,0,1,0
Ccdc73,98,11,4,3,15,7,8,0,2
Eif3m,3934,482,156,48,211,85,79,72,74
Wt1,53,0,0,0,0,0,0,0,0
Rcn1,5320,472,147,55,324,120,122,43,63
Pax6,1,1,0,0,0,0,0,0,2
Elp4,228,26,7,6,11,7,7,3,3
Immp1l,1094,142,39,21,104,36,45,32,23
Dnajc24,469,61,26,6,33,14,8,11,13
Mpped2,234,11,11,17,41,11,10,13,8
Arl14ep,369,35,11,12,24,11,9,7,9
Mettl15,64,3,3,2,8,2,3,1,3
Kif18a,49,9,1,2,6,6,3,2,0
Bdnf,83,51,14,9,38,15,20,13,14
Lin7c,715,111,40,19,63,21,28,15,21
Lgr4,592,47,23,16,46,22,25,32,17
Ccdc34,1488,151,63,21,90,46,47,24,36
Gm13936,1,0,0,0,0,0,0,1,0
Bbox1,0,0,0,0,0,1,0,0,1
Fibin,1899,62,31,16,120,89,40,47,36
Ano3,6,7,1,0,8,1,0,1,0
Muc15,0,0,0,0,0,0,0,0,0
Olfr1276,0,0,0,0,0,0,1,0,0
Olfr1284,1,0,0,0,0,0,0,0,0
Olfr1286,0,0,0,0,0,0,0,1,0
Olfr1307,1,0,0,1,0,0,0,0,1
Olfr1310,0,1,0,0,0,0,1,0,0
Olfr1312,0,0,0,0,0,0,0,0,0
Lpcat4,13,1,3,2,6,2,8,1,1
Nop10,2305,412,156,36,226,76,108,63,92
Slc12a6,485,39,10,3,22,9,14,9,9
Emc4,937,141,40,24,72,29,24,21,20
Katnbl1,428,70,20,10,39,12,14,6,10
Emc7,2757,400,135,32,192,81,90,48,74
Aven,245,55,12,3,18,4,7,10,9
Ryr3,0,0,0,0,0,0,0,0,0
Fmn1,244,15,7,2,11,3,5,7,4
Gm13963,0,0,0,0,0,0,0,0,0
Grem1,3603,248,167,10,21,28,0,12,15
Scg5,7,1,0,0,0,0,0,0,0
Arhgap11a,83,1,4,3,5,6,1,1,1
Actc1,0,0,0,4,6,1,5,2,15
Aqr,722,63,22,7,44,11,16,14,8
Zfp770,137,11,7,2,6,2,1,3,3
Dph6,302,33,9,5,18,4,6,6,9
Gm13977,0,1,1,0,0,0,0,0,0
BC052040,46,5,3,1,2,3,1,1,0
Meis2,1487,180,48,17,102,56,68,20,28
2700033N17Rik,75,4,0,0,1,0,4,3,3
G630016G05Rik,9,0,0,0,0,0,0,0,0
D330050G23Rik,24,3,1,0,3,4,1,3,2
Gm29340,34,8,4,0,3,0,1,1,0
Spred1,2090,377,77,34,136,66,58,35,30
Fam98b,385,49,19,6,30,10,11,8,6
Rasgrp1,1,1,0,0,0,0,2,0,0
Thbs1,9268,2555,758,67,594,239,375,78,72
Gm29233,0,0,0,0,0,0,0,0,0
Fsip1,14,0,0,0,0,0,0,0,0
Gpr176,284,14,2,4,11,5,1,3,4
Eif2ak4,141,15,10,4,17,6,9,6,10
Srp14,3110,467,157,56,275,113,108,66,74
Bmf,338,17,5,1,14,4,5,3,5
Bub1b,69,5,2,0,3,3,5,1,0
Pak6,0,0,0,0,0,0,0,0,0
Plcb2,0,1,0,0,0,0,0,0,1
Inafm2,182,29,8,1,9,3,7,3,3
A430105I19Rik,179,8,1,1,2,1,2,2,0
Knstrn,109,18,19,7,10,8,2,0,0
Gm14091,1,0,0,0,0,0,0,0,0
Ivd,273,32,11,4,36,12,12,7,11
Bahd1,216,25,12,5,21,8,10,8,9
Chst14,461,42,12,9,28,21,15,6,9
Ccdc32,593,53,16,4,35,14,14,17,8
Rpusd2,12,0,0,0,3,0,0,0,0
Knl1,62,9,6,0,2,5,2,2,1
Rad51,59,4,3,4,2,2,1,0,0
Rmdn3,266,34,7,1,23,8,10,4,6
Gchfr,8,0,0,0,0,0,0,0,0
Dnajc17,187,9,3,3,12,4,9,2,3
Gm14137,1,0,0,0,0,0,0,0,0
Zfyve19,244,20,8,4,20,6,7,6,6
Ppp1r14d,0,0,0,0,0,0,0,0,0
Spint1,5,0,0,0,1,0,0,0,0
Rhov,0,1,1,0,0,4,0,0,0
Vps18,164,14,5,2,11,4,3,2,1
Dll4,1,0,0,0,0,0,0,0,0
Chac1,23,3,1,1,5,2,1,7,3
Ino80,426,72,17,11,38,19,24,19,10
Exd1,18,6,0,0,0,0,0,0,2
Chp1,1782,216,61,22,130,36,49,24,32
1700020I14Rik,1808,143,65,31,115,46,48,28,39
Oip5,29,4,1,2,3,3,1,0,0
Nusap1,113,3,5,6,14,17,7,0,0
Ndufaf1,222,24,4,3,11,7,9,5,4
Rtf1,1507,232,66,44,141,47,52,33,43
Itpka,4,0,0,1,1,0,1,0,0
Ltk,0,0,0,0,0,0,0,0,1
Rpap1,137,18,5,1,9,4,4,4,5
Tyro3,87,15,6,0,5,3,3,0,3
Mga,1764,170,64,30,107,34,54,35,34
Mapkbp1,344,35,20,5,36,6,13,7,6
Jmjd7,51,12,6,1,8,7,4,4,2
Pla2g4b,1,1,1,0,0,1,0,0,0
Ehd4,305,53,22,6,35,11,14,6,9
Pla2g4f,0,0,0,0,0,0,0,0,0
Vps39,263,19,6,1,15,4,5,2,1
Tmem87a,260,34,14,10,16,12,12,7,4
Ganc,261,24,11,2,18,5,8,5,6
Capn3,6,1,0,0,0,1,0,0,0
Zfp106,1419,130,34,16,86,24,41,29,26
Gm26899,1,1,0,0,0,0,0,1,0
Snap23,1265,162,50,21,86,37,36,26,28
Lrrc57,238,23,10,3,14,10,7,2,4
Haus2,273,40,15,5,25,8,7,7,10
Stard9,939,71,25,7,32,28,28,8,17
Cdan1,136,14,5,4,18,3,7,6,8
Ttbk2,290,51,13,9,18,8,19,8,10
Ubr1,669,80,38,5,46,14,22,17,15
Tmem62,86,10,5,4,4,3,3,1,0
Ccndbp1,621,83,22,5,43,19,16,20,17
Tgm5,0,0,0,0,0,0,0,0,0
Lcmt2,92,9,1,1,9,5,3,2,2
Adal,92,16,4,2,5,4,4,2,1
Zscan29,201,25,12,2,14,3,6,16,10
Tubgcp4,526,57,17,9,40,22,16,22,10
Trp53bp1,241,39,11,2,22,9,6,7,8
Map1a,399,41,7,7,20,17,19,5,11
Ppip5k1,129,15,8,2,12,8,10,3,3
Ckmt1,0,0,0,0,0,0,0,0,1
Catsper2,29,2,0,0,3,0,5,1,1
Pdia3,8738,1852,601,181,1039,342,343,241,278
Ell3,0,2,0,0,0,0,0,0,0
Serinc4,0,0,1,0,2,0,1,1,0
Serf2,24094,3421,961,498,2392,830,801,436,536
Hypk,1401,518,165,55,276,96,93,65,89
Mfap1b,696,81,31,9,34,13,31,16,22
Mfap1a,485,49,25,2,25,14,11,4,7
Wdr76,50,8,3,2,7,3,11,7,1
Frmd5,12,3,0,0,0,1,1,1,0
Gm14019,3,0,0,0,0,1,0,0,0
Casc4,729,90,22,16,51,25,34,27,22
Mageb3,2,0,0,0,0,0,0,0,0
Ctdspl2,529,60,21,14,38,20,26,15,18
Eif3j1,1178,413,96,53,221,61,76,39,43
Spg11,310,38,7,2,14,4,5,3,8
B2m,23136,4602,1471,462,3148,1157,1475,447,722
Trim69,21,15,5,3,14,3,2,0,0
Terb2,1,1,0,0,5,3,1,1,0
Sord,543,80,20,3,34,15,6,9,13
Duox2,4,0,0,0,2,0,0,1,1
Duoxa1,341,16,8,1,16,1,0,8,5
Duox1,228,6,4,0,11,1,2,4,2
Shf,171,10,5,1,11,9,9,7,2
Slc28a2,0,0,0,0,1,1,0,0,0
Gm14085,0,0,0,0,0,0,0,0,0
Gatm,40,3,25,19,10,25,8,6,2
AA467197,43,6,6,0,6,1,2,2,2
Slc30a4,897,97,27,3,50,12,15,19,18
Bloc1s6os,8,2,0,0,1,0,0,0,0
Bloc1s6,319,26,13,1,23,8,11,3,5
Sqor,832,114,50,3,61,9,22,21,13
Sema6d,418,52,6,4,15,14,20,6,7
Slc24a5,82,15,4,10,27,12,7,12,9
Myef2,298,43,14,13,34,25,17,18,14
Slc12a1,5,0,0,0,0,0,0,1,2
Gm14002,8,1,1,0,2,0,0,0,1
Dut,1097,128,59,12,71,31,17,11,23
A530010F05Rik,3,0,0,0,1,0,0,0,0
Gm14003,0,0,1,0,2,0,1,0,0
Fbn1,22054,1477,490,65,969,283,353,157,360
Gm9913,96,16,8,0,6,1,1,1,2
Cep152,66,4,1,1,8,2,2,0,1
Shc4,118,2,0,3,8,7,9,3,2
Eid1,6444,555,182,105,382,162,178,105,143
Secisbp2l,1272,100,29,5,72,29,32,30,28
Cops2,1451,201,60,16,75,22,37,29,39
Galk2,777,78,30,5,28,32,27,14,13
Fgf7,2304,374,160,12,101,127,189,37,56
Dtwd1,306,22,11,2,12,6,9,6,6
Gm17555,1,0,0,0,0,2,0,0,0
Atp8b4,13,3,1,0,2,0,0,0,0
Hdc,17,5,4,0,0,2,0,0,2
Gabpb1,201,60,12,7,18,7,22,7,4
Gm27003,20,1,1,0,4,0,1,0,0
Usp8,869,115,39,9,56,23,38,16,17
Usp50,245,107,50,16,76,25,29,20,23
Trpm7,1932,226,73,15,113,41,66,30,32
Sppl2a,2207,269,90,13,150,51,50,32,39
Ap4e1,199,14,6,3,18,3,5,4,8
Blvra,479,75,24,6,45,14,13,8,15
Ncaph,40,1,7,1,5,5,1,0,0
Itpripl1,55,7,2,3,3,4,3,3,2
1810024B03Rik,133,23,6,3,14,7,8,5,3
Snrnp200,733,71,28,11,41,23,14,10,107
Ciao1,568,64,27,7,28,10,19,11,11
Tmem127,937,114,28,7,37,18,22,8,20
Stard7,843,71,33,2,33,14,17,6,6
Dusp2,15,10,0,2,18,1,7,11,5
Astl,0,0,0,0,0,0,0,0,0
Adra2b,0,0,0,0,0,0,0,0,0
Fahd2a,84,12,6,0,10,0,3,6,1
Kcnip3,14,1,0,1,3,1,1,0,1
Prom2,0,0,0,0,0,0,0,0,0
Zfp661,38,2,1,1,1,0,2,0,0
Mrps5,594,105,25,13,46,17,15,12,17
Mal,31,0,0,8,3,18,6,5,1
Mall,0,0,0,0,0,0,0,1,0
Nphp1,241,34,2,4,32,3,9,6,3
1500011K16Rik,589,98,29,10,48,21,17,14,24
Bub1,30,1,4,2,4,3,1,0,1
Acoxl,0,0,0,0,0,0,0,0,0
Bcl2l11,464,183,38,22,68,29,78,24,22
Gm14005,613,84,24,2,38,18,19,13,11
Gm14009,0,1,0,0,0,0,0,0,0
Gm14010,1,0,1,0,0,0,0,0,2
Gm29010,0,0,0,0,0,0,0,0,0
Gm39929,0,1,0,0,1,0,1,2,0
Anapc1,1089,82,26,12,52,20,24,14,11
Mertk,424,73,13,6,25,10,18,3,5
Tmem87b,1305,139,36,13,53,28,41,26,22
Fbln7,303,45,0,7,60,32,43,26,3
Zc3h8,88,16,4,3,9,1,4,4,1
4933427J07Rik,14,2,1,0,0,0,0,0,1
Gm10762,67,2,2,1,8,1,0,3,2
Zc3h6,309,20,12,2,15,13,9,11,7
Ttl,338,59,20,7,19,19,5,6,13
Polr1b,156,18,3,4,11,1,1,0,1
Chchd5,407,41,17,5,42,11,16,6,15
AI847159,0,0,0,0,0,0,0,0,0
Gm14029,0,0,0,0,0,0,0,0,0
Slc20a1,554,148,46,16,71,34,27,24,12
A730036I17Rik,0,2,0,0,0,0,0,0,0
Ckap2l,97,4,3,3,3,9,0,1,0
Il1a,1,4,1,0,1,1,0,0,0
Il1b,36,40,24,8,28,19,9,5,5
Il1bos,0,0,0,0,0,0,0,0,0
Sirpa,2229,215,57,9,103,32,47,23,36
Stk35,158,80,21,4,40,9,20,8,5
Tgm3,0,0,0,0,0,0,0,0,0
Tgm6,0,0,0,0,0,0,0,0,0
Snrpb,3956,676,237,107,426,153,148,129,152
Tmc2,0,0,0,0,0,0,0,0,1
Nop56,1095,262,77,41,128,43,63,29,43
Idh3b,1046,130,52,27,107,32,43,35,37
Ebf4,57,5,2,3,6,2,3,8,1
Cpxm1,11906,2663,478,177,1248,299,358,157,112
1700020A23Rik,30,7,3,0,1,0,0,0,0
Pced1a,212,26,9,5,16,5,7,0,2
Vps16,499,52,18,2,25,12,11,7,5
Ptpra,2154,251,81,25,139,51,60,33,37
Mrps26,1257,126,44,12,70,40,26,33,29
Oxt,13,5,0,0,4,5,4,0,1
Avp,14,0,0,0,0,0,0,0,0
Ubox5,30,2,2,0,6,1,2,0,0
Fastkd5,75,1,1,2,5,3,0,5,3
Lzts3,32,12,2,2,6,3,4,1,3
Ddrgk1,2774,323,97,26,169,61,76,65,65
Itpa,898,102,34,14,61,16,12,8,11
Slc4a11,22,4,2,2,3,1,0,1,0
4930402H24Rik,736,99,20,17,58,33,40,19,14
Atrn,627,62,14,13,32,17,13,21,22
Gfra4,121,23,4,1,10,7,7,5,3
Adam33,3916,267,89,18,167,59,97,24,37
Siglec1,1,1,0,1,0,1,0,0,0
Hspa12b,332,13,5,1,17,5,6,7,3
1700037H04Rik,163,32,18,1,13,3,5,5,7
Spef1,154,16,10,3,16,10,10,3,3
Cenpb,2231,311,77,29,120,62,63,34,33
Cdc25b,271,18,5,4,9,6,3,0,8
Ap5s1,342,17,4,1,8,5,5,1,4
Mavs,224,19,4,0,10,3,6,3,4
Pank2,689,66,23,6,51,13,13,7,7
Rnf24,341,64,25,13,35,14,19,13,11
Smox,192,28,8,9,25,17,20,10,12
Gm14285,0,0,0,0,0,0,0,0,1
5330413P13Rik,0,0,0,0,0,0,0,0,0
Erv3,4,0,0,0,0,0,0,0,0
Prnp,9072,838,321,65,532,218,336,108,110
Rassf2,981,105,29,6,75,25,27,16,15
Slc23a2,354,46,17,2,19,7,17,8,3
Tmem230,619,100,37,10,64,24,23,19,17
Pcna,514,205,68,27,116,43,55,25,20
AV099323,32,8,0,1,5,2,2,1,0
Cds2,556,77,24,6,40,15,12,8,19
Prokr2,45,0,0,2,7,0,0,0,0
4921508D12Rik,3,0,0,0,0,0,0,0,0
1700026D11Rik,2,0,0,0,0,0,0,0,0
Gpcpd1,546,57,22,6,33,18,18,17,11
AU019990,0,0,0,0,0,0,0,0,0
1110034G24Rik,162,14,3,1,11,6,4,1,4
Trmt6,475,60,13,1,22,5,10,9,13
Mcm8,22,0,3,1,2,5,1,3,0
Crls1,517,88,24,11,35,18,22,14,9
Fermt1,0,0,0,0,0,0,0,0,0
Bmp2,199,110,29,7,49,13,21,11,7
Tmx4,488,60,21,7,46,26,22,10,9
Plcb1,203,12,3,2,9,10,1,4,4
Plcb4,215,55,18,7,30,14,14,10,7
Ankef1,6,0,0,0,1,0,1,0,1
Snap25,0,0,0,0,0,0,0,0,0
Mkks,166,24,9,2,13,4,5,4,3
Slx4ip,119,16,3,4,10,5,4,3,3
Jag1,163,58,9,58,150,35,27,76,27
Btbd3,213,30,10,3,17,13,17,4,11
Sptlc3,0,0,0,0,0,0,0,0,0
Ism1,3097,246,91,2,64,14,24,10,22
Tasp1,337,36,4,2,15,4,11,7,6
Esf1,1172,165,52,21,76,37,29,30,24
Ndufaf5,169,16,7,3,14,2,6,1,6
Macrod2,463,35,6,3,23,16,6,4,6
Flrt3,259,34,20,2,24,14,10,4,5
Kif16b,274,21,16,2,20,8,6,3,2
Kif16bos,0,0,0,0,0,0,0,0,0
Snrpb2,1747,228,74,23,116,42,52,23,30
Pcsk2os1,0,0,0,2,0,0,0,0,0
Pcsk2,4,0,1,2,2,3,0,0,1
Bfsp1,189,14,5,1,10,5,4,1,1
Dstn,7178,710,246,106,508,174,216,145,169
Rrbp1,12914,1837,469,174,1101,404,429,231,204
Banf2os,3,0,0,0,4,0,0,0,1
Gm5535,4,0,0,0,2,0,0,0,0
4930444E06Rik,0,0,0,0,0,0,0,0,0
Snx5,1194,141,50,15,84,30,32,27,46
Mgme1,164,25,11,1,17,4,9,6,2
Ovol2,2,0,0,0,0,0,0,0,0
Kat14,358,33,15,0,23,11,7,3,5
Dzank1,16,2,1,0,0,0,0,1,0
Polr3f,306,24,10,3,12,9,4,5,5
Rbbp9,332,38,18,3,15,8,12,5,11
Sec23b,678,102,32,11,56,10,16,21,16
Smim26,566,61,20,6,54,13,37,16,18
Dtd1,574,71,12,5,41,14,14,15,13
Slc24a3,26,0,0,0,2,1,1,1,0
Rin2,2267,151,55,14,97,43,42,22,20
Naa20,1509,206,82,19,120,46,41,21,33
Crnkl1,466,50,20,5,20,6,12,8,10
Insm1,0,0,0,0,2,0,0,0,0
Ralgapa2,155,6,4,2,8,5,6,0,3
Kiz,402,41,14,4,25,9,14,9,8
Xrn2,1385,159,50,17,94,19,24,27,28
AI646519,2,0,0,0,10,6,11,1,4
Pax1,10,1,2,0,10,13,8,5,12
Thbd,1682,234,99,1,82,11,51,23,11
Cd93,3,3,0,0,2,0,0,1,0
Nxt1,441,41,14,14,40,11,13,12,10
Gzf1,211,36,11,2,19,5,7,4,11
Napb,153,3,2,0,9,5,2,2,1
Cst3,17597,3169,877,294,2055,554,639,517,590
Syndig1,2,0,1,0,2,1,1,0,1
Zfp120,249,16,5,0,14,7,3,1,3
Zfp937,56,2,1,1,4,2,1,2,2
Gm21994,9,0,0,0,1,0,0,1,0
3300002I08Rik,38,3,0,2,3,1,1,2,0
Gm10130,2,1,0,0,0,0,0,0,0
Zfp442,101,14,6,4,4,6,4,5,6
Cst7,2,0,1,0,0,0,0,0,0
Apmap,421,41,18,5,21,12,7,5,8
Acss1,11,0,0,0,0,0,0,0,1
Platr15,0,0,0,0,0,0,0,0,0
Entpd6,131,12,2,2,14,2,3,6,5
Pygb,572,61,8,6,43,19,21,8,7
Abhd12,791,102,38,10,51,27,23,14,25
Gins1,59,5,2,1,4,0,2,0,0
Ninl,105,15,2,3,11,5,7,2,4
Nanp,4,1,0,0,0,0,0,0,0
Gm14149,0,0,0,0,0,0,1,0,0
Nsfl1c,867,132,38,21,105,34,28,23,25
